Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches
1,Abner,br BRA,DF,Juventude,21-185,2004,18,13,1281,14.2,0,1,1,0,0,0,3,0,0.2,0.2,0.4,0.5,6,21,1,0.00,0.07,0.07,0.00,0.07,0.01,0.03,0.04,0.01,0.04,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-190,1999,22,10,1018,11.3,0,1,1,0,0,0,3,0,0.2,0.2,1.0,1.2,18,64,7,0.00,0.09,0.09,0.00,0.09,0.02,0.09,0.11,0.02,0.11,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-143,1994,8,7,583,6.5,2,0,2,2,0,0,2,0,1.3,1.3,1.1,2.4,13,43,29,0.31,0.00,0.31,0.31,0.31,0.19,0.17,0.37,0.19,0.37,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-015,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,12,17,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-085,2000,25,24,2103,23.4,1,0,1,1,0,0,4,0,0.5,0.5,1.0,1.5,32,107,126,0.04,0.00,0.04,0.04,0.04,0.02,0.04,0.07,0.02,0.07,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-190,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,5,9,20,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.15,0.14,0.15,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-217,2001,19,14,1398,15.5,7,2,9,6,1,2,3,0,8.2,6.9,1.3,8.2,20,18,87,0.45,0.13,0.58,0.39,0.52,0.53,0.08,0.61,0.44,0.53,Matches
8,José Aldo,br BRA,MF,Mirassol,27-088,1998,23,11,1056,11.7,0,1,1,0,0,0,3,0,0.8,0.8,1.9,2.7,9,74,37,0.00,0.09,0.09,0.00,0.09,0.07,0.16,0.23,0.07,0.23,Matches
9,Alesson,br BRA,FW,Mirassol,26-247,1999,17,9,897,10.0,4,5,9,4,0,0,1,0,3.9,3.9,1.8,5.7,30,18,76,0.40,0.50,0.90,0.40,0.90,0.40,0.18,0.58,0.40,0.58,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-239,1999,16,16,1180,13.1,0,1,1,0,0,0,4,0,0.3,0.3,1.2,1.4,11,91,16,0.00,0.08,0.08,0.00,0.08,0.02,0.09,0.11,0.02,0.11,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-197,1999,18,14,1247,13.9,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.2,34,49,56,0.00,0.07,0.07,0.00,0.07,0.03,0.06,0.09,0.03,0.09,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-013,2003,6,3,357,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,10,31,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
13,Alisson,br BRA,MF,São Paulo,32-118,1993,24,19,1728,19.2,0,1,1,0,0,0,4,0,1.0,1.0,0.6,1.6,25,109,31,0.00,0.05,0.05,0.00,0.05,0.05,0.03,0.08,0.05,0.08,Matches
14,Allan,br BRA,MF,Flamengo,28-232,1997,13,9,683,7.6,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,52,7,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-185,2004,20,4,539,6.0,1,2,3,1,0,0,0,1,0.7,0.7,0.6,1.3,12,15,26,0.17,0.33,0.50,0.17,0.50,0.12,0.09,0.21,0.12,0.21,Matches
16,Allan,br BRA,"MF,FW",Botafogo (RJ),34-286,1991,16,9,723,8.0,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,5,43,15,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
17,Allanzinho,br BRA,"MF,FW",Fortaleza,25-200,2000,7,2,248,2.8,0,2,2,0,0,0,1,0,0.3,0.3,1.4,1.7,13,2,24,0.00,0.73,0.73,0.00,0.73,0.11,0.52,0.63,0.11,0.63,Matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-254,1993,23,23,1948,21.6,0,1,1,0,0,0,3,2,0.4,0.4,0.2,0.6,22,120,15,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.03,0.02,0.03,Matches
19,Matheus Alves,br BRA,"MF,FW",São Paulo,20-230,2005,8,4,371,4.1,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,10,12,17,0.00,0.24,0.24,0.00,0.24,0.08,0.17,0.25,0.08,0.25,Matches
20,Francis Amuzu,be BEL,FW,Grêmio,26-059,1999,15,6,629,7.0,2,1,3,2,0,0,2,0,1.0,1.0,1.6,2.6,29,13,50,0.29,0.14,0.43,0.29,0.43,0.15,0.23,0.37,0.15,0.37,Matches
21,Felipe Anderson,br BRA,"MF,FW",Palmeiras,32-189,1993,23,19,1374,15.3,3,2,5,3,0,0,0,0,1.8,1.8,1.5,3.3,42,81,88,0.20,0.13,0.33,0.20,0.33,0.11,0.10,0.21,0.11,0.21,Matches
22,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-191,2005,7,1,163,1.8,0,1,1,0,0,0,3,0,0.3,0.3,0.4,0.8,9,10,20,0.00,0.55,0.55,0.00,0.55,0.19,0.23,0.42,0.19,0.42,Matches
23,André,br BRA,"MF,FW",Corinthians,19-123,2006,4,0,128,1.4,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,3,2,0.70,0.00,0.70,0.70,0.70,0.26,0.00,0.26,0.26,0.26,Matches
24,José Andrés Martínez,ve VEN,MF,Corinthians,31-075,1994,18,13,1081,12.0,0,1,1,0,0,0,8,0,0.4,0.4,0.9,1.3,14,57,44,0.00,0.08,0.08,0.00,0.08,0.04,0.07,0.11,0.04,0.11,Matches
25,Wilker Ángel,ve VEN,DF,Juventude,32-217,1993,15,13,1236,13.7,1,0,1,1,0,0,4,0,0.5,0.5,0.0,0.5,2,23,0,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.04,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Fabrizio Angileri,ar ARG,DF,Corinthians,31-220,1994,21,13,1239,13.8,0,0,0,0,0,0,3,0,0.2,0.2,0.6,0.7,28,60,54,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
27,Anthoni,br BRA,GK,Internacional,23-271,2002,17,16,1485,16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Marcos Antônio,br BRA,MF,São Paulo,25-130,2000,21,18,1422,15.8,0,3,3,0,0,0,4,0,0.3,0.3,2.4,2.8,25,89,70,0.00,0.19,0.19,0.00,0.19,0.02,0.15,0.17,0.02,0.17,Matches
29,Léo Aragão,br BRA,GK,Cruzeiro,23-185,2002,3,2,244,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-190,1997,16,13,1053,11.7,1,1,2,1,0,0,5,0,1.1,1.1,1.5,2.5,35,72,95,0.09,0.09,0.17,0.09,0.17,0.09,0.12,0.22,0.09,0.22,Matches
31,Willian Arão,br BRA,MF,Santos,32-322,1992,3,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
32,Luiz Araújo,br BRA,"FW,MF",Flamengo,29-141,1996,26,12,1357,15.1,6,2,8,6,0,0,2,0,3.1,3.1,3.4,6.5,27,74,110,0.40,0.13,0.53,0.40,0.53,0.21,0.22,0.43,0.21,0.43,Matches
33,Matheus Araújo,br BRA,"MF,FW",Ceará,23-152,2002,10,2,269,3.0,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.2,7,15,18,0.33,0.33,0.67,0.33,0.67,0.17,0.22,0.39,0.17,0.39,Matches
34,Michel Araujo,uy URU,"MF,FW",Bahia,29-023,1996,19,5,612,6.8,4,1,5,4,0,0,1,0,1.1,1.1,0.4,1.6,23,31,30,0.59,0.15,0.74,0.59,0.74,0.17,0.07,0.23,0.17,0.23,Matches
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-045,2002,18,3,510,5.7,3,0,3,3,0,0,1,0,2.6,2.6,0.8,3.5,16,10,27,0.53,0.00,0.53,0.53,0.53,0.46,0.15,0.61,0.46,0.61,Matches
36,Robert Arboleda,ec ECU,DF,São Paulo,33-364,1991,18,17,1549,17.2,3,0,3,3,0,0,4,0,1.6,1.6,0.0,1.6,1,14,1,0.17,0.00,0.17,0.17,0.17,0.09,0.00,0.09,0.09,0.09,Matches
37,Lucas Arcanjo,br BRA,GK,Vitória,27-074,1998,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Matias Arezo,uy URU,FW,Grêmio,22-334,2002,8,3,268,3.0,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.7,4,5,17,0.34,0.34,0.67,0.34,0.67,0.32,0.26,0.58,0.32,0.58,Matches
