event_id,level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
1,0,1,2.0,0.0,0.0,10,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Copenhagen,Tottenham,,nan,,,0.0,0.0,,nan,1.0,Tottenham
2,1,2,2.0,0.0,0.0,30,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Tottenham,Copenhagen,,nan,,,0.0,0.0,,nan,1.0,Tottenham
3,2,3,3.0,0.0,0.0,30,52.5,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.13'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,399772.0,24.36,34.272,,,,,,,,,,,0.0,,,,5.0,3.0,2.0,4.0,0.01484598,0.01016549,-0.004680490000000001,Tottenham,Copenhagen,7.0,Xavi Simons,AMC,True,-28.14045872885397,0.0,179.44619876690396,X. Simons,1.0,Tottenham
4,3,4,4.0,0.0,5.0,30,24.885,33.932,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '55.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '75.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '68.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 128, 36, 37, 217, 218]",True,147863.0,79.38,46.308,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Tottenham,Copenhagen,1.0,Guglielmo Vicario,GK,True,51.69195259994922,0.0,12.795040716380413,G. Vicario,1.0,Tottenham
5,4,5,3.0,0.0,8.0,10,22.89,23.323999999999998,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.75'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 38, 215, 218]",True,472900.0,29.19,19.584000000000003,,,,,,,,,,,0.13333333333333333,,,,2.0,2.0,3.0,2.0,0.01001304,0.01110462,0.00109158,Copenhagen,Tottenham,5.0,Gabriel Pereira,DC,True,5.632643286154206,0.0,-30.695519823651583,G. Pereira,1.0,Tottenham
6,5,6,4.0,0.0,9.0,10,29.19,19.584000000000003,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.99'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.0'}]","[91, 118, 120, 128, 36, 37, 216, 218]",True,342577.0,36.855000000000004,31.28,,,,,,,,,,,0.15,,,,,,,,,,,Copenhagen,Tottenham,12.0,Lukas Lerager,MC,True,8.969235826617279,0.0,56.761079968403585,L. Lerager,1.0,Tottenham
7,6,7,18.0,0.0,10.0,30,68.14500000000001,36.720000000000006,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[197, 199]",False,303657.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Tottenham,Copenhagen,30.0,Rodrigo Bentancur,DMC,True,0.0,0.0,,R. Bentancur,1.0,Tottenham
8,7,8,9.0,0.0,10.0,10,36.855000000000004,31.28,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '18'}]","[198, 200]",False,141732.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Copenhagen,Tottenham,10.0,Mohamed Elyounoussi,FW,True,0.0,0.0,,M. Elyounoussi,1.0,Tottenham
9,8,9,5.0,0.0,11.0,30,68.14500000000001,36.720000000000006,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.50'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.7'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,303657.0,76.33500000000001,41.208000000000006,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Tottenham,Copenhagen,30.0,Rodrigo Bentancur,DMC,True,7.397876117144346,0.0,28.7220956638285,R. Bentancur,1.0,Tottenham
10,9,10,5.0,0.0,13.0,10,28.665000000000003,26.792,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,300755.0,,,,,,,,,,,,,0.21666666666666667,,,,,,,,,,,Copenhagen,Tottenham,6.0,Pantelis Hatzidiakos,DC,True,0.0,0.0,,P. Hatzidiakos,1.0,Tottenham
