Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Abner,br BRA,DF,Juventude,21-198,2004,18,13,1281,14.2,0,1,1,0,0,0,3,0,0.2,0.2,0.4,0.5,6,21,1,0.00,0.07,0.07,0.00,0.07,0.01,0.03,0.04,0.01,0.04,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-203,1999,25,13,1254,13.9,0,1,1,0,0,0,4,0,0.3,0.3,1.0,1.3,20,81,12,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-156,1994,10,9,751,8.3,2,0,2,2,0,0,3,0,1.8,1.8,1.5,3.3,16,56,41,0.24,0.00,0.24,0.24,0.24,0.21,0.19,0.40,0.21,0.40,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-028,2000,10,0,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,6,12,17,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-098,2000,25,24,2103,23.4,1,0,1,1,0,0,4,0,0.5,0.5,1.0,1.5,32,107,126,0.04,0.00,0.04,0.04,0.04,0.02,0.04,0.07,0.02,0.07,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-203,2002,9,4,330,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,5,9,20,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.15,0.14,0.15,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-230,2001,21,16,1556,17.3,7,2,9,6,1,2,3,0,9.0,7.8,1.5,9.2,22,18,99,0.40,0.12,0.52,0.35,0.46,0.52,0.08,0.61,0.45,0.53,Matches
8,José Aldo,br BRA,MF,Mirassol,27-101,1998,25,11,1086,12.1,0,1,1,0,0,0,3,0,0.9,0.9,2.0,2.8,12,78,37,0.00,0.08,0.08,0.00,0.08,0.07,0.16,0.24,0.07,0.24,Matches
9,Alesson,br BRA,FW,Mirassol,26-260,1999,19,11,1059,11.8,4,5,9,4,0,0,1,0,4.7,4.7,1.9,6.6,38,27,104,0.34,0.42,0.76,0.34,0.76,0.40,0.17,0.56,0.40,0.56,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-252,1999,16,16,1180,13.1,0,1,1,0,0,0,4,0,0.3,0.3,1.2,1.4,11,91,16,0.00,0.08,0.08,0.00,0.08,0.02,0.09,0.11,0.02,0.11,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-210,1999,19,14,1292,14.4,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.2,37,49,58,0.00,0.07,0.07,0.00,0.07,0.03,0.06,0.08,0.03,0.08,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-026,2003,7,4,426,4.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,10,31,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
13,Alisson,br BRA,MF,São Paulo,32-131,1993,25,19,1746,19.4,0,1,1,0,0,0,4,0,1.0,1.0,0.6,1.6,25,110,31,0.00,0.05,0.05,0.00,0.05,0.05,0.03,0.08,0.05,0.08,Matches
14,Allan,br BRA,MF,Flamengo,28-245,1997,13,9,683,7.6,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,52,7,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-198,2004,21,4,567,6.3,1,2,3,1,0,0,0,1,0.7,0.7,0.6,1.3,14,17,29,0.16,0.32,0.48,0.16,0.48,0.12,0.09,0.20,0.12,0.20,Matches
16,Allan,br BRA,"MF,FW",Botafogo (RJ),34-299,1991,17,9,736,8.2,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.3,5,45,16,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
17,Allanzinho,br BRA,"MF,FW",Fortaleza,25-213,2000,7,2,248,2.8,0,2,2,0,0,0,1,0,0.3,0.3,1.4,1.7,13,2,24,0.00,0.73,0.73,0.00,0.73,0.11,0.52,0.63,0.11,0.63,Matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-267,1993,25,25,2128,23.6,0,1,1,0,0,0,5,2,0.4,0.4,0.2,0.6,23,127,16,0.00,0.04,0.04,0.00,0.04,0.02,0.01,0.03,0.02,0.03,Matches
19,Matheus Alves,br BRA,"MF,FW",São Paulo,20-243,2005,8,4,371,4.1,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,10,12,17,0.00,0.24,0.24,0.00,0.24,0.08,0.17,0.25,0.08,0.25,Matches
20,Francis Amuzu,be BEL,"FW,MF",Grêmio,26-072,1999,17,8,782,8.7,2,2,4,2,0,0,2,0,1.3,1.3,1.9,3.2,33,20,63,0.23,0.23,0.46,0.23,0.46,0.15,0.22,0.37,0.15,0.37,Matches
21,Felipe Anderson,br BRA,"MF,FW",Palmeiras,32-202,1993,25,21,1482,16.5,4,2,6,4,0,0,0,0,2.0,2.0,1.5,3.5,48,84,91,0.24,0.12,0.36,0.24,0.36,0.12,0.09,0.21,0.12,0.21,Matches
22,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-204,2005,7,1,163,1.8,0,1,1,0,0,0,3,0,0.3,0.3,0.4,0.8,9,10,20,0.00,0.55,0.55,0.00,0.55,0.19,0.23,0.42,0.19,0.42,Matches
23,André,br BRA,"MF,FW",Corinthians,19-136,2006,4,0,128,1.4,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,3,2,0.70,0.00,0.70,0.70,0.70,0.26,0.00,0.26,0.26,0.26,Matches
24,José Andrés Martínez,ve VEN,MF,Corinthians,31-088,1994,19,14,1171,13.0,0,1,1,0,0,0,9,0,0.4,0.4,0.9,1.3,16,57,50,0.00,0.08,0.08,0.00,0.08,0.03,0.07,0.10,0.03,0.10,Matches
25,Wilker Ángel,ve VEN,DF,Juventude,32-230,1993,16,14,1310,14.6,1,0,1,1,0,0,5,0,0.5,0.5,0.0,0.5,2,24,1,0.07,0.00,0.07,0.07,0.07,0.04,0.00,0.04,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Fabrizio Angileri,ar ARG,DF,Corinthians,31-233,1994,23,14,1331,14.8,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,30,69,54,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
27,Anthoni,br BRA,GK,Internacional,23-284,2002,17,16,1485,16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Marcos Antônio,br BRA,MF,São Paulo,25-143,2000,23,20,1584,17.6,0,3,3,0,0,0,4,0,0.4,0.4,2.5,2.8,27,99,82,0.00,0.17,0.17,0.00,0.17,0.02,0.14,0.16,0.02,0.16,Matches
29,Léo Aragão,br BRA,GK,Cruzeiro,23-198,2002,3,2,244,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-203,1997,17,13,1080,12.0,1,1,2,1,0,0,6,0,1.1,1.1,1.4,2.5,37,72,97,0.08,0.08,0.17,0.08,0.17,0.09,0.12,0.21,0.09,0.21,Matches
