Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Abner,br BRA,DF,Juventude,21-185,2004,14.2,18,10,12,4,2,10,28,35.7,18,23,13,10,18,36,93,1,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-190,1999,11.3,39,26,14,17,8,16,40,40.0,24,15,4,11,17,56,18,0,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-143,1994,6.5,10,8,2,5,3,6,14,42.9,8,10,0,10,0,10,4,0,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-015,2000,2.3,6,4,4,1,1,0,0,,0,2,0,2,0,6,5,0,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-085,2000,23.4,58,36,25,25,8,38,58,65.5,20,25,9,16,29,87,86,2,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-190,2002,3.7,4,3,2,1,1,2,4,50.0,2,2,0,2,9,13,7,0,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-217,2001,15.5,5,2,0,2,3,4,8,50.0,4,1,0,1,3,8,9,0,Matches
8,José Aldo,br BRA,MF,Mirassol,27-088,1998,11.7,26,18,16,8,2,14,20,70.0,6,13,0,13,18,44,24,0,Matches
9,Alesson,br BRA,FW,Mirassol,26-247,1999,10.0,19,10,4,11,4,10,31,32.3,21,19,0,19,4,23,9,0,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-239,1999,13.1,25,13,10,14,1,13,36,36.1,23,15,6,9,10,35,21,1,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-197,1999,13.9,36,24,16,14,6,19,29,65.5,10,15,5,10,25,61,44,0,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-013,2003,4.0,13,10,5,5,3,7,11,63.6,4,4,0,4,6,19,1,0,Matches
13,Alisson,br BRA,MF,São Paulo,32-118,1993,19.2,25,15,9,15,1,18,42,42.9,24,16,7,9,12,37,27,2,Matches
14,Allan,br BRA,MF,Flamengo,28-232,1997,7.6,6,4,2,4,0,2,2,100.0,0,8,4,4,9,15,9,0,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-185,2004,6.0,20,15,12,6,2,12,26,46.2,14,6,2,4,8,28,14,1,Matches
16,Allan,br BRA,"MF,FW",Botafogo (RJ),34-286,1991,8.0,24,16,14,9,1,15,28,53.6,13,14,2,12,4,28,18,0,Matches
17,Allanzinho,br BRA,"MF,FW",Fortaleza,25-200,2000,2.8,3,2,2,1,0,1,1,100.0,0,4,1,3,2,5,2,0,Matches
18,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-254,1993,21.6,28,16,16,10,2,17,25,68.0,8,15,11,4,26,54,104,0,Matches
19,Matheus Alves,br BRA,"MF,FW",São Paulo,20-230,2005,4.1,9,4,6,3,0,4,7,57.1,3,2,0,2,3,12,3,0,Matches
20,Francis Amuzu,be BEL,FW,Grêmio,26-059,1999,7.0,6,4,4,0,2,2,2,100.0,0,3,0,3,0,6,3,0,Matches
21,Felipe Anderson,br BRA,"MF,FW",Palmeiras,32-189,1993,15.3,45,27,24,15,6,27,52,51.9,25,26,1,25,15,60,18,1,Matches
22,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-191,2005,1.8,4,4,2,1,1,1,1,100.0,0,2,0,2,1,5,0,0,Matches
23,André,br BRA,"MF,FW",Corinthians,19-123,2006,1.4,7,6,2,4,1,2,4,50.0,2,1,0,1,0,7,0,0,Matches
24,José Andrés Martínez,ve VEN,MF,Corinthians,31-075,1994,12.0,20,18,7,9,4,15,29,51.7,14,7,2,5,12,32,14,2,Matches
25,Wilker Ángel,ve VEN,DF,Juventude,32-217,1993,13.7,10,5,5,4,1,6,9,66.7,3,34,32,2,10,20,97,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Fabrizio Angileri,ar ARG,DF,Corinthians,31-220,1994,13.8,30,21,22,6,2,18,28,64.3,10,18,8,10,9,39,57,0,Matches
27,Anthoni,br BRA,GK,Internacional,23-271,2002,16.5,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,11,4,Matches
28,Marcos Antônio,br BRA,MF,São Paulo,25-130,2000,15.8,14,9,8,6,0,8,24,33.3,16,15,5,10,7,21,25,0,Matches
29,Léo Aragão,br BRA,GK,Cruzeiro,23-185,2002,2.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
30,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-190,1997,11.7,15,10,7,8,0,6,12,50.0,6,13,6,7,10,25,23,0,Matches
31,Willian Arão,br BRA,MF,Santos,32-322,1992,0.8,4,4,1,2,1,0,0,,0,0,0,0,1,5,1,0,Matches
32,Luiz Araújo,br BRA,"FW,MF",Flamengo,29-141,1996,15.1,43,31,12,24,7,17,29,58.6,12,15,0,15,7,50,11,0,Matches
33,Matheus Araújo,br BRA,"MF,FW",Ceará,23-152,2002,3.0,3,1,1,2,0,0,2,0.0,2,3,0,3,0,3,1,0,Matches
34,Michel Araujo,uy URU,"MF,FW",Bahia,29-023,1996,6.8,18,11,7,8,3,9,20,45.0,11,4,1,3,3,21,15,1,Matches
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-045,2002,5.7,6,4,3,2,1,1,3,33.3,2,6,1,5,0,6,5,0,Matches
36,Robert Arboleda,ec ECU,DF,São Paulo,33-364,1991,17.2,25,17,18,7,0,13,18,72.2,5,35,24,11,16,41,113,0,Matches
37,Lucas Arcanjo,br BRA,GK,Vitória,27-074,1998,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,2,Matches
38,Matias Arezo,uy URU,FW,Grêmio,22-334,2002,3.0,2,1,1,0,1,0,2,0.0,2,4,1,3,0,2,2,0,Matches
39,Jhon Arias,co COL,FW,Fluminense,28-030,1997,12.0,13,10,3,3,7,7,16,43.8,9,17,0,17,4,17,2,0,Matches
40,Santiago Arias,co COL,DF,Bahia,33-281,1992,9.3,14,10,7,7,0,9,15,60.0,6,6,3,3,12,26,29,1,Matches
41,Keny Arroyo,ec ECU,FW,Cruzeiro,19-249,2006,2.5,2,2,1,0,1,1,4,25.0,3,4,1,3,1,3,0,0,Matches
42,Arthur,br BRA,FW,Sport Recife,22-223,2003,2.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1,Matches
43,Artur,br BRA,"FW,MF",Botafogo (RJ),27-248,1998,15.4,11,9,3,4,4,5,16,31.3,11,9,0,9,7,18,9,0,Matches
44,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,23-113,2002,5.8,9,4,5,2,2,5,12,41.7,7,2,0,2,3,12,2,1,Matches
45,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-237,2000,2.1,2,2,1,1,0,0,0,,0,2,0,2,1,3,1,0,Matches
46,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,25-114,2000,1.8,3,3,0,3,0,1,3,33.3,2,0,0,0,1,4,0,0,Matches
47,Leo Augusto Pereira,br BRA,FW,Sport Recife,25-114,2000,6.0,12,9,4,6,2,4,9,44.4,5,2,0,2,2,14,6,0,Matches
48,Renato Augusto,br BRA,"MF,FW",Fluminense,37-255,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,Gastón Ávila,ar ARG,DF,Fortaleza,24-021,2001,15.8,49,34,26,20,3,35,56,62.5,21,11,8,3,17,66,56,0,Matches
50,Aylon,br BRA,"FW,MF",Ceará,33-197,1992,7.5,16,10,5,10,1,9,20,45.0,11,14,1,13,2,18,7,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Matheus Babi,br BRA,FW,Juventude,28-095,1997,4.6,5,2,1,4,0,0,4,0.0,4,5,0,5,1,6,5,0,Matches
52,Bahia,br BRA,MF,Corinthians,19-292,2006,0.5,3,2,1,2,0,2,2,100.0,0,2,0,2,2,5,1,0,Matches
53,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26-331,1998,1.6,4,2,2,2,0,4,4,100.0,0,2,2,0,2,6,10,1,Matches
54,Matheus Bahia,br BRA,DF,Ceará,26-071,1999,18.6,34,19,21,9,4,15,30,50.0,15,13,5,8,15,49,68,0,Matches
55,Fabián Balbuena,py PAR,DF,Grêmio,34-059,1991,2.5,3,2,3,0,0,1,3,33.3,2,0,0,0,4,7,24,0,Matches
56,Gabriel Baralhas,br BRA,MF,Vitória,27-011,1998,19.5,42,29,16,22,4,21,37,56.8,16,34,9,25,28,70,43,0,Matches
57,Danilo Barbosa,br BRA,"DF,MF",Botafogo (RJ),29-235,1996,0.4,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0,Matches
58,Diogo Barbosa,br BRA,DF,Fortaleza,33-065,1992,8.7,19,10,11,8,0,12,25,48.0,13,9,1,8,5,24,38,0,Matches
59,Gabriel Barbosa,br BRA,"FW,MF",Cruzeiro,29-052,1996,8.6,6,2,2,2,2,1,4,25.0,3,7,0,7,0,6,1,0,Matches
60,Lucas Barbosa,br BRA,"FW,MF",RB Bragantino,24-241,2001,17.9,32,22,12,12,8,10,26,38.5,16,39,5,34,15,47,40,0,Matches
61,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-219,1995,17.9,37,28,29,7,1,24,35,68.6,11,22,10,12,19,56,120,2,Matches
62,Adam Bareiro,py PAR,FW,Fortaleza,29-087,1996,2.8,3,3,0,3,0,1,3,33.3,2,2,0,2,0,3,2,0,Matches
63,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,24-108,2001,14.9,13,5,1,7,5,5,18,27.8,13,15,1,14,10,23,11,0,Matches
