Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Anthoni,br BRA,GK,Internacional,23-271,2002,17,16,1485,16.5,26,1.58,54,30,53.7,3,6,7,3,18.8,1,1,0,0,0.0,Matches
2,Léo Aragão,br BRA,GK,Cruzeiro,23-185,2002,3,2,244,2.7,1,0.37,9,8,88.9,2,0,0,2,100.0,0,0,0,0,,Matches
3,Lucas Arcanjo,br BRA,GK,Vitória,27-074,1998,28,28,2520,28.0,41,1.46,144,103,74.3,7,10,11,7,25.0,4,4,0,0,0.0,Matches
4,Gabriel Brazão,br BRA,GK,Santos,25-016,2000,28,28,2497,27.7,40,1.44,120,81,70.8,8,7,13,6,21.4,5,5,0,0,0.0,Matches
5,Brenno,br BRA,GK,Fortaleza,26-203,1999,5,5,450,5.0,7,1.40,20,12,65.0,1,0,4,0,0.0,1,0,1,0,100.0,Matches
6,Ruan Carneiro,br BRA,GK,Juventude,35-207,1990,3,3,270,3.0,4,1.33,13,9,76.9,2,0,1,1,33.3,1,1,0,0,0.0,Matches
7,Cássio,br BRA,GK,Cruzeiro,38-137,1987,27,27,2366,26.3,20,0.76,100,79,80.0,14,8,5,11,40.7,1,0,1,0,100.0,Matches
8,Gabriel Chapecó,br BRA,GK,Grêmio,25-206,2000,5,5,450,5.0,7,1.40,27,20,77.8,2,1,2,1,20.0,1,1,0,0,0.0,Matches
9,Gabriel Delfim,br BRA,GK,Atlético Mineiro,23-103,2002,2,2,180,2.0,2,1.00,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,Matches
10,Diogenes,br BRA,GK,Santos,24-288,2001,1,0,23,0.3,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches
11,Matheus Donelli,br BRA,GK,Corinthians,23-157,2002,5,5,450,5.0,6,1.20,19,13,73.7,2,1,2,1,20.0,1,1,0,0,0.0,Matches
12,Éverson,br BRA,GK,Atlético Mineiro,35-091,1990,26,26,2340,26.0,30,1.15,102,73,73.5,8,8,10,8,30.8,3,3,0,0,0.0,Matches
13,Fábio,br BRA,GK,Fluminense,45-021,1980,28,28,2520,28.0,35,1.25,99,64,64.6,12,5,11,9,32.1,1,0,1,0,100.0,Matches
