Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Nahuel Losada,ar ARG,GK,32-210,29.5,2,1,1,1,0,2,3,66.7,1,1,0,1,0,2,13,3
Sasha Marcich,ar ARG,DF,27-168,26.8,67,47,30,24,13,28,54,51.9,26,24,3,21,35,102,132,0
Agustín Cardozo,ar ARG,MF,28-167,25.1,42,28,17,23,2,25,46,54.3,21,32,9,23,27,69,37,0
Eduardo Salvio,ar ARG,FW,35-123,23.6,29,20,12,12,5,13,35,37.1,22,30,2,28,17,46,32,0
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,34,16,26,8,0,15,23,65.2,8,21,17,4,35,69,177,3
Marcelino Moreno,ar ARG,MF,31-141,23.2,23,16,7,10,6,9,22,40.9,13,9,0,9,8,31,3,0
Walter Bou,ar ARG,FW,32-080,17.5,20,15,3,9,8,4,6,66.7,2,22,3,19,1,21,14,1
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,29,23,19,8,2,16,38,42.1,22,33,11,22,16,45,62,0
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,26,10,14,8,4,13,34,38.2,21,30,8,22,8,34,31,0
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,13,5,10,3,0,7,11,63.6,4,28,15,13,35,48,141,0
Agustín Medina,,MF,,14.8,51,33,18,26,7,28,41,68.3,13,27,1,26,23,74,21,1
Ronaldo Dejesús,py PAR,DF,24-206,13,12,7,6,6,0,5,6,83.3,1,16,3,13,16,28,142,2
Alexis Segovia,ar ARG,FW,21-151,10.3,16,11,4,11,1,8,20,40,12,16,0,16,7,23,20,0
Armando Méndez,uy URU,DF,29-227,9.6,30,20,19,11,0,18,28,64.3,10,10,3,7,15,45,24,1
Jose Domínguez,py PAR,DF,29-116,8.8,7,4,5,2,0,4,4,100,0,16,11,5,10,17,70,1
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,21,11,6,12,3,11,22,50,11,26,1,25,10,31,12,0
Franco Watson,ar ARG,"MF,FW",25-316,6.2,8,7,2,6,0,5,14,35.7,9,7,0,7,2,10,8,2
Rodrigo Castillo,ar ARG,FW,26-260,7.7,10,8,4,5,1,2,8,25,6,10,1,9,2,12,13,0
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,9,6,5,3,1,5,9,55.6,4,8,1,7,6,15,2,0
Felipe Peña,ar ARG,MF,24-222,5.3,7,4,0,6,1,5,10,50,5,11,5,6,6,13,15,0
Alexis Canelo,ar ARG,"FW,MF",33-283,7,5,3,1,4,0,1,4,25,3,4,1,3,1,6,8,0
Nicolás Morgantini,ar ARG,DF,31-063,4.3,7,5,7,0,0,4,6,66.7,2,6,2,4,5,12,21,0
Juan Cáceres,py PAR,DF,25-165,3,10,5,5,5,0,5,8,62.5,3,4,2,2,4,14,19,0
Bruno Cabrera,ar ARG,FW,22-145,2.7,1,0,0,1,0,0,2,0,2,4,0,4,1,2,0,0
Luciano Romero,ar ARG,DF,19-314,2.4,8,6,3,4,1,2,2,100,0,4,1,3,6,14,7,0
Franco Orozco,ar ARG,FW,23-308,2.3,5,5,2,3,0,3,9,33.3,6,3,0,3,3,8,3,0
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,1,0,0,0,1,0,2,0,2,5,0,5,0,1,5,0
Lautaro Morales,ar ARG,GK,25-332,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,4,4,2,1,1,2,2,100,0,3,0,3,2,6,3,0
Leonel Cardozo,ar ARG,DF,21-308,1.1,2,2,1,1,0,1,2,50,1,2,0,2,0,2,5,0
Tobías Quiroz,ar ARG,DF,20-235,1,0,0,0,0,0,0,0,,0,1,1,0,4,4,7,0
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,1,1,0,1,0,1,1,100,0,1,1,0,0,1,0,0
Óctavio Ontivero,ar ARG,DF,19-307,0.8,1,1,1,0,0,1,2,50,1,0,0,0,1,2,4,0
Thomás de Martis,ar ARG,FW,17-140,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mariano Gerez,ar ARG,MF,19-298,0.1,2,1,0,1,1,2,2,100,0,1,0,1,0,2,0,0
Luciano Boggio,it ITA,MF,26-248,0.1,3,3,0,1,2,2,2,100,0,0,0,0,0,3,1,0
Elías Brito,ar ARG,DF,20-099,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jeremías Chavero,ar ARG,FW,19-167,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Squad Total,,,29.8,31,506,328,230,216,60,247,478,51.7,231,415,102,313,306,812,1054,14
Opponent Total,,,27.9,31,583,359,253,271,59,283,510,55.5,227,348,87,261,329,912,800,9
