Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Nahuel Losada,ar ARG,GK,32-210,29.5,11,0.37,10,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Sasha Marcich,ar ARG,DF,27-168,26.8,43,1.61,25,10,1,2,4,1,7,0.26,5,1,0,0,1,0
Agustín Cardozo,ar ARG,MF,28-167,25.1,35,1.4,31,1,0,2,1,0,2,0.08,2,0,0,0,0,0
Eduardo Salvio,ar ARG,FW,35-123,23.6,64,2.71,48,1,8,4,3,0,3,0.13,2,1,0,0,0,0
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,9,0.37,7,0,0,2,0,0,0,0,0,0,0,0,0,0
Marcelino Moreno,ar ARG,MF,31-141,23.2,158,6.8,73,52,13,8,11,1,10,0.43,4,2,2,0,2,0
Walter Bou,ar ARG,FW,32-080,17.5,42,2.4,29,0,2,9,2,0,2,0.11,1,0,0,1,0,0
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,24,1.43,19,3,1,1,0,0,3,0.18,3,0,0,0,0,0
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,24,1.57,20,0,0,4,0,0,4,0.26,4,0,0,0,0,0
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,6,0.39,1,1,0,3,1,0,2,0.13,0,0,0,1,1,0
Agustín Medina,,MF,,14.8,27,1.82,24,0,0,0,1,2,2,0.14,2,0,0,0,0,0
Ronaldo Dejesús,py PAR,DF,24-206,13,14,1.08,7,0,1,6,0,0,1,0.08,1,0,0,0,0,0
Alexis Segovia,ar ARG,FW,21-151,10.3,31,3.02,19,2,3,1,6,0,2,0.2,1,0,0,0,1,0
Armando Méndez,uy URU,DF,29-227,9.6,14,1.47,11,0,1,0,1,1,0,0,0,0,0,0,0,0
Jose Domínguez,py PAR,DF,29-116,8.8,6,0.68,6,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,33,2.86,24,1,4,1,2,1,4,0.35,2,0,1,0,1,0
Franco Watson,ar ARG,"MF,FW",25-316,6.2,15,2.43,8,5,1,0,1,0,1,0.16,0,1,0,0,0,0
Rodrigo Castillo,ar ARG,FW,26-260,7.7,13,1.68,8,0,1,3,0,1,1,0.13,0,0,0,1,0,0
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,16,2.85,14,0,1,0,1,0,1,0.18,1,0,0,0,0,0
Felipe Peña,ar ARG,MF,24-222,5.3,8,1.51,7,0,0,0,0,1,1,0.19,1,0,0,0,0,0
Alexis Canelo,ar ARG,"FW,MF",33-283,7,30,4.31,22,0,1,4,3,0,3,0.43,3,0,0,0,0,0
Nicolás Morgantini,ar ARG,DF,31-063,4.3,4,0.92,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Juan Cáceres,py PAR,DF,25-165,3,6,2,6,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Bruno Cabrera,ar ARG,FW,22-145,2.7,5,1.83,3,0,0,0,2,0,1,0.37,1,0,0,0,0,0
Luciano Romero,ar ARG,DF,19-314,2.4,3,1.23,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Franco Orozco,ar ARG,FW,23-308,2.3,10,4.33,7,0,1,1,1,0,0,0,0,0,0,0,0,0
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,3,1.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lautaro Morales,ar ARG,GK,25-332,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,1,0.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonel Cardozo,ar ARG,DF,21-308,1.1,1,0.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobías Quiroz,ar ARG,DF,20-235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,5,5.84,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Óctavio Ontivero,ar ARG,DF,19-307,0.8,1,1.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomás de Martis,ar ARG,FW,17-140,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariano Gerez,ar ARG,MF,19-298,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano Boggio,it ITA,MF,26-248,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elías Brito,ar ARG,DF,20-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremías Chavero,ar ARG,FW,19-167,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,29.8,31,663,21.39,445,78,39,53,40,8,53,1.71,36,5,3,3,6,0
Opponent Total,,,27.9,31,660,21.29,482,61,31,35,35,16,38,1.23,24,3,2,2,5,2
