Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Nahuel Losada,ar ARG,GK,32-210,29.5,619,890,69.6,18507,14446,90,91,98.9,296,303,97.7,232,491,47.3,0,0.1,0.1,-0.1,3,13,0,0,2
Sasha Marcich,ar ARG,DF,27-168,26.8,915,1324,69.1,15433,7799,444,518,85.7,361,494,73.1,85,230,37,5,2.8,2.1,2.2,19,100,21,11,121
Agustín Cardozo,ar ARG,MF,28-167,25.1,988,1144,86.4,16272,5484,472,519,90.9,424,474,89.5,68,101,67.3,0,0.7,0.7,-0.7,12,101,7,1,98
Eduardo Salvio,ar ARG,FW,35-123,23.6,597,799,74.7,8560,2010,360,423,85.1,176,233,75.5,30,56,53.6,1,2.7,2.9,-1.7,34,43,26,7,74
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,1032,1214,85,21043,8503,285,308,92.5,604,662,91.2,135,215,62.8,0,1,0.6,-1,6,57,2,0,60
Marcelino Moreno,ar ARG,MF,31-141,23.2,763,1046,72.9,13273,4579,357,413,86.4,287,362,79.3,93,197,47.2,2,6.9,6.7,-4.9,71,105,44,6,141
Walter Bou,ar ARG,FW,32-080,17.5,274,408,67.2,3909,926,166,218,76.1,82,114,71.9,18,27,66.7,2,1.9,1.5,0.1,15,20,14,3,38
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,608,807,75.3,10804,5364,281,328,85.7,261,332,78.6,59,112,52.7,1,0.4,0.8,0.6,9,78,14,5,97
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,426,603,70.6,7374,2611,205,262,78.2,171,228,75,40,68,58.8,1,0.9,1.3,0.1,9,53,10,5,63
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,548,643,85.2,10650,4431,163,184,88.6,320,349,91.7,51,88,58,1,0.3,0.1,0.7,1,16,0,0,26
Agustín Medina,,MF,,14.8,600,745,80.5,10173,3418,278,321,86.6,253,296,85.5,54,88,61.4,0,0.3,0.5,-0.3,7,65,2,0,68
Ronaldo Dejesús,py PAR,DF,24-206,13,445,568,78.3,8669,3500,153,173,88.4,240,269,89.2,47,109,43.1,0,0.1,0.4,-0.1,3,31,1,0,43
Alexis Segovia,ar ARG,FW,21-151,10.3,265,347,76.4,4019,1164,150,176,85.2,93,113,82.3,14,26,53.8,0,0.3,0.7,-0.3,8,15,13,4,41
Armando Méndez,uy URU,DF,29-227,9.6,280,363,77.1,4542,1994,134,153,87.6,113,139,81.3,21,50,42,0,0.9,0.9,-0.9,4,19,9,5,27
Jose Domínguez,py PAR,DF,29-116,8.8,256,311,82.3,4890,2073,91,101,90.1,132,144,91.7,26,56,46.4,0,0,0,0,0,8,0,0,9
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,316,409,77.3,4875,1483,174,202,86.1,110,130,84.6,20,42,47.6,2,1.5,1.4,0.5,16,32,13,2,43
Franco Watson,ar ARG,"MF,FW",25-316,6.2,210,264,79.5,3418,652,106,127,83.5,86,98,87.8,15,32,46.9,1,0.2,0.6,0.8,6,22,4,1,22
Rodrigo Castillo,ar ARG,FW,26-260,7.7,141,213,66.2,1926,224,82,109,75.2,48,63,76.2,3,10,30,0,0.2,0.4,-0.2,3,5,5,1,10
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,281,316,88.9,4065,1346,167,183,91.3,92,103,89.3,13,17,76.5,0,0.5,0.7,-0.5,6,30,9,4,51
Felipe Peña,ar ARG,MF,24-222,5.3,201,273,73.6,3635,1339,81,103,78.6,93,122,76.2,22,37,59.5,1,0.5,0.2,0.5,2,31,3,1,31
Alexis Canelo,ar ARG,"FW,MF",33-283,7,154,236,65.3,2319,695,79,108,73.1,51,78,65.4,12,17,70.6,3,1.6,1.3,1.4,16,14,12,6,26
Nicolás Morgantini,ar ARG,DF,31-063,4.3,158,220,71.8,2725,1462,67,82,81.7,75,101,74.3,10,23,43.5,0,0,0.1,0,0,25,1,0,20
Juan Cáceres,py PAR,DF,25-165,3,120,160,75,2433,1127,48,56,85.7,50,62,80.6,21,39,53.8,1,0.2,0.2,0.8,4,17,1,1,14
Bruno Cabrera,ar ARG,FW,22-145,2.7,36,52,69.2,481,115,22,27,81.5,11,13,84.6,1,2,50,0,0,0.2,0,0,0,1,0,5
Luciano Romero,ar ARG,DF,19-314,2.4,92,114,80.7,1406,571,51,57,89.5,35,42,83.3,4,10,40,0,0.5,0.3,-0.5,2,3,1,0,4
Franco Orozco,ar ARG,FW,23-308,2.3,63,89,70.8,901,212,35,41,85.4,22,31,71,4,9,44.4,0,0.3,0.2,-0.3,5,4,3,3,6
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,26,30,86.7,304,60,19,21,90.5,6,7,85.7,0,0,,0,0,0.1,0,2,0,2,0,3
Lautaro Morales,ar ARG,GK,25-332,1.5,32,40,80,747,568,6,6,100,20,20,100,6,14,42.9,0,0,0,0,0,2,0,0,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,51,62,82.3,721,311,29,32,90.6,18,22,81.8,1,4,25,0,0,0,0,1,6,0,0,9
Leonel Cardozo,ar ARG,DF,21-308,1.1,29,42,69,486,283,15,18,83.3,10,16,62.5,4,7,57.1,0,0.1,0.2,-0.1,1,2,1,0,3
Tobías Quiroz,ar ARG,DF,20-235,1,20,30,66.7,400,180,8,14,57.1,11,12,91.7,1,4,25,0,0,0,0,0,0,0,0,1
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,16,25,64,206,102,11,14,78.6,5,7,71.4,0,2,0,0,0,0,0,2,3,0,0,2
Óctavio Ontivero,ar ARG,DF,19-307,0.8,21,29,72.4,325,98,11,13,84.6,10,12,83.3,0,4,0,0,0.3,0.3,-0.3,1,3,1,1,1
Thomás de Martis,ar ARG,FW,17-140,0.1,7,7,100,54,9,6,6,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Mariano Gerez,ar ARG,MF,19-298,0.1,3,5,60,54,27,1,3,33.3,2,2,100,0,0,,0,0,0,0,0,1,0,0,1
Luciano Boggio,it ITA,MF,26-248,0.1,6,7,85.7,107,21,2,2,100,3,3,100,1,2,50,0,0,0.1,0,0,0,1,0,1
Elías Brito,ar ARG,DF,20-099,0,3,4,75,65,34,0,0,,3,4,75,0,0,,0,0,0,0,0,0,1,0,1
Jeremías Chavero,ar ARG,FW,19-167,0,1,1,100,19,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
Squad Total,,,29.8,31,10603,13840,76.6,189790,79221,4649,5412,85.9,4575,5461,83.8,1111,2189,50.8,21,25,25.3,-4,268,924,222,67,1162
Opponent Total,,,27.9,31,9832,13387,73.4,187358,74616,4009,4879,82.2,4426,5375,82.3,1213,2424,50,15,22.7,25.4,-7.7,270,910,248,82,1246
