Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Abner,br BRA,DF,Juventude,21-185,2004,14.2,464,546,85.0,9526,3231,128,137,93.4,274,294,93.2,59,105,56.2,1,0.4,0.2,+0.6,5,23,1,0,21,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-190,1999,11.3,664,777,85.5,10668,2948,344,366,94.0,245,277,88.4,52,85,61.2,1,1.0,1.0,0.0,11,72,6,0,64,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-143,1994,6.5,212,283,74.9,3154,988,119,139,85.6,66,82,80.5,13,30,43.3,0,1.1,1.4,-1.1,18,30,18,5,43,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-015,2000,2.3,122,146,83.6,1503,290,80,90,88.9,25,32,78.1,4,6,66.7,0,0.2,0.3,-0.2,4,13,4,1,12,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-085,2000,23.4,1004,1300,77.2,17750,6466,442,494,89.5,447,570,78.4,98,169,58.0,0,1.0,1.0,-1.0,12,82,19,8,107,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-190,2002,3.7,51,69,73.9,761,255,26,34,76.5,17,20,85.0,3,6,50.0,0,0.1,0.0,-0.1,2,2,0,0,9,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-217,2001,15.5,173,235,73.6,2408,428,99,125,79.2,56,74,75.7,7,11,63.6,2,1.3,0.4,+0.7,11,16,5,1,18,Matches
8,José Aldo,br BRA,MF,Mirassol,27-088,1998,11.7,496,590,84.1,8245,2660,237,267,88.8,183,207,88.4,49,66,74.2,1,1.9,1.5,-0.9,14,47,6,2,74,Matches
9,Alesson,br BRA,FW,Mirassol,26-247,1999,10.0,168,230,73.0,2449,735,102,121,84.3,44,58,75.9,13,29,44.8,5,1.8,1.6,+3.2,16,8,16,10,18,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-239,1999,13.1,849,950,89.4,15107,3773,367,395,92.9,375,400,93.8,89,111,80.2,1,1.2,1.2,-0.2,9,89,13,4,91,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-197,1999,13.9,481,594,81.0,7286,2789,261,284,91.9,185,230,80.4,21,39,53.8,1,0.8,0.8,+0.2,8,26,12,8,49,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-013,2003,4.0,161,189,85.2,2566,859,84,95,88.4,66,72,91.7,9,11,81.8,0,0.1,0.2,-0.1,3,25,4,0,31,Matches
13,Alisson,br BRA,MF,São Paulo,32-118,1993,19.2,1045,1192,87.7,18660,4585,451,489,92.2,462,508,90.9,112,151,74.2,1,0.6,0.8,+0.4,17,100,13,5,109,Matches
