Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
1,Sabit Abdulai,gh GHA,MF,Botafogo (SP),26-183,1999,16,10,821,9.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Adaílton,br BRA,"FW,MF",Remo,34-339,1990,16,9,778,8.6,1,1,2,1,0,0,0,0,0.12,0.12,0.23,0.12,0.23,Matches
3,Lucas Adell,br BRA,DF,Volta Redonda,25-118,2000,17,15,1298,14.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Ademilson,br BRA,"FW,MF",Operário,31-305,1994,22,9,877,9.7,1,1,2,0,1,2,1,1,0.10,0.10,0.21,0.00,0.10,Matches
5,Adriel,br BRA,GK,Athletic,24-300,2001,28,28,2454,27.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Adsson,br BRA,MF,Volta Redonda,25-170,2000,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Airton,br BRA,"MF,FW",Novorizontino,26-281,1999,14,4,482,5.4,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
8,Marcelo Ajul,br BRA,DF,Athletic,23-076,2002,23,21,1737,19.3,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
9,Carlos Akapo,gq EQG,"DF,MF",Amazonas,32-243,1993,15,9,868,9.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Léo Alaba,br BRA,"DF,MF",Criciúma,26-132,1999,15,8,748,8.3,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
11,Albano,br BRA,"MF,FW",Ferroviária,28-154,1997,28,18,1496,16.6,1,1,2,1,0,0,3,1,0.06,0.06,0.12,0.06,0.12,Matches
